Reference area,FREQ,Frequency of observation,Measure,TIME_PERIOD,PM_SPEX10,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,Time period,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,UNIT_MULT,Unit multiplier,PRICE_BASE,Price base,BASE_PER,Base period,TIMELINESS,Timeliness,DECIMALS,Decimals
Indonesia,A,Annual,Population exposed to more than 10 micrograms/m3,2000,99.41,PT_POP,Percentage of population,_T,Total - all activities,,,A,Normal value,,,0,Units,_Z,Not applicable,,,3,3 years lag,2,Two
Indonesia,A,Annual,Population exposed to more than 10 micrograms/m3,2005,99.54,PT_POP,Percentage of population,_T,Total - all activities,,,A,Normal value,,,0,Units,_Z,Not applicable,,,3,3 years lag,2,Two
Indonesia,A,Annual,Population exposed to more than 10 micrograms/m3,2010,98.63,PT_POP,Percentage of population,_T,Total - all activities,,,A,Normal value,,,0,Units,_Z,Not applicable,,,3,3 years lag,2,Two
Indonesia,A,Annual,Population exposed to more than 10 micrograms/m3,2011,98.87,PT_POP,Percentage of population,_T,Total - all activities,,,A,Normal value,,,0,Units,_Z,Not applicable,,,3,3 years lag,2,Two
Indonesia,A,Annual,Population exposed to more than 10 micrograms/m3,2012,99.43,PT_POP,Percentage of population,_T,Total - all activities,,,A,Normal value,,,0,Units,_Z,Not applicable,,,3,3 years lag,2,Two
Indonesia,A,Annual,Population exposed to more than 10 micrograms/m3,2013,99.17,PT_POP,Percentage of population,_T,Total - all activities,,,A,Normal value,,,0,Units,_Z,Not applicable,,,3,3 years lag,2,Two
Indonesia,A,Annual,Population exposed to more than 10 micrograms/m3,2014,99.49,PT_POP,Percentage of population,_T,Total - all activities,,,A,Normal value,,,0,Units,_Z,Not applicable,,,3,3 years lag,2,Two
Indonesia,A,Annual,Population exposed to more than 10 micrograms/m3,2015,99.49,PT_POP,Percentage of population,_T,Total - all activities,,,A,Normal value,,,0,Units,_Z,Not applicable,,,3,3 years lag,2,Two
Indonesia,A,Annual,Population exposed to more than 10 micrograms/m3,2016,99.02,PT_POP,Percentage of population,_T,Total - all activities,,,A,Normal value,,,0,Units,_Z,Not applicable,,,3,3 years lag,2,Two
Indonesia,A,Annual,Population exposed to more than 10 micrograms/m3,2017,98.07,PT_POP,Percentage of population,_T,Total - all activities,,,A,Normal value,,,0,Units,_Z,Not applicable,,,3,3 years lag,2,Two
Indonesia,A,Annual,Population exposed to more than 10 micrograms/m3,2018,98.5,PT_POP,Percentage of population,_T,Total - all activities,,,A,Normal value,,,0,Units,_Z,Not applicable,,,3,3 years lag,2,Two
Indonesia,A,Annual,Population exposed to more than 10 micrograms/m3,2019,98.28,PT_POP,Percentage of population,_T,Total - all activities,,,A,Normal value,,,0,Units,_Z,Not applicable,,,3,3 years lag,2,Two
